Spell,Publisher,Source,Concentration,Ritual,Rare Spell Count,Spell Level,Artificer,Bard,Cleric,Druid,Elementalist,Herald,Sorcerer,Warlock,Wielder,Witch,Wizard,Classical School,acid,affliction,air,arcane,architecture,attack,beasts,chaos,cold,communication,compulsion,control,displacement,divine,earth,enhancement,evil,fear,fire,force,good,healing,knowledge,law,lightning,movement,nature,necrotic,negation,object,obscurement,planar,plants,poison,prismatic,protection,psionic,psychic,radiant,scrying,senses,shadow,shapechanging,sound,storm,summoning,technological,telepathy,teleportation,terrain,thunder,time,transformation,travel,unarmed,undead,utility,water,weaponry,weather,Multiclass
Abstraction,EN Publishing,Gate Pass Gazette #14,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,Transmutation,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Accelerando,EN Publishing,Adventurer's Guide,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,Transmutation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Accursed Smite,Purple Martin Games,"Manual of Adventurous Resources, Vol.3: Light and Dark",0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,Necromancy,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Acid Arrow,EN Publishing,Adventurer's Guide,0,0,2,2,0,0,0,0,0,0,1,0,0,0,1,Evocation,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acid Splash,EN Publishing,Adventurer's Guide,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,Conjuration,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adaptive Physiology,Purple Martin Games,Spells of the Forgotten Vault,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,Transmutation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adhering Blast,Purple Martin Games,Spells of the Forgotten Vault,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,Conjuration,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid,EN Publishing,Adventurer's Guide,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,Abjuration,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air Wave,EN Publishing,Adventurer's Guide,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,Conjuration,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Alarm,EN Publishing,Adventurer's Guide,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,Abjuration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alchemical Admixture,Purple Martin Games,Spells of the Forgotten Vault,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,Transmutation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alter Self,EN Publishing,Adventurer's Guide,1,0,0,2,0,0,0,0,0,0,1,0,0,1,1,Transmutation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Altered Strike,EN Publishing,Adventurer's Guide,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,Transmutation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Anemoculus,Josh Gentry,Hymn of the Hinterlands: The Harpy Heritage,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,Divination,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angel Paradox,EN Publishing,Adventurer's Guide,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,Evocation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Animal Friendship,EN Publishing,Adventurer's Guide,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,Enchantment,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animal Messenger,EN Publishing,Adventurer's Guide,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,Enchantment,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animal Shapes,EN Publishing,Adventurer's Guide,1,0,1,8,0,0,0,1,0,0,0,0,0,0,0,Transmutation,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
